Обозначение кабеля, провода	Трасса		Проxод через				Кабель, провод					
	Начало	Конец	трубу			Протяжной ящик №	по проекту			проложено		
			Обозначение	Диаметр по стандарту, мм	Длина, м		Марка	Кол., число и сечение жил	Длина, м	Марка	Кол., число и сечение жил	Длина, м
PU204-V-S1	Шкаф ШУ204-V	Пульт ПУ204-V	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	70			10,7
			РЗ ЦПнг	15								
PU204-V.ONet-1	Шкаф ШУ204-V	Пульт ПУ204-V	Труба	20х2,8 			ДОТс-нг(А)-HF-08У					11,4
			РЗ ЦПнг	15								
PU204-V-K1	Шкаф ШУ204-V	Пульт ПУ204-V	Труба	20х2,8 			МКЭШнг(A)-LS	7x0,75	70			10,8
			РЗ ЦПнг	15								
204-V.PIS-K1	Пульт ПУ204-V	Реле давления (204-V.PIS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
204-V.FS-K1	Пульт ПУ204-V	Реле расхода (204-V.FS)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	5			8,6
			РЗ ЦПнг	15								
Шкаф 1099ШСК											 	
Ввод											 	
1099SSK-K2	Шкаф 1099ШУК	Шкаф 1099ШСК 					МКЭШнг(A)-LS	7x0,75	5			10,8
												
Конвейер поз. 1099											 	
1099-K4	Шкаф 1099ШСК  	Термисторная защита (1099.M)	Труба	20х2,8 			КВВГЭнг(A)-LS	4x1,5	50			12,2
			РЗ ЦПнг	15								
1099-S2	Шкаф 1099ШСК  	Пост сигнализации (1099.HA1)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	50			10,7
			РЗ ЦПнг	15								
1099-S3	Пост сигнализации (1099.HA1)	Пост сигнализации (1099.HA2)	Труба	20х2,8 			РэВнг(A)-LS	3x2,5	30			10,7
			РЗ ЦПнг	15								
1099-K1	Шкаф 1099ШУК	Шкаф 1099ШСК 					МКЭШнг(A)-LS	14x0,75	5			15
												
1099-K2	Шкаф 1099ШУК	Шкаф 1099ШСК 					МКЭШнг(A)-LS	14x0,75	5			15
												
1099-K5	Шкаф 1099ШУК	Клеммная коробка (1099.KK1)	Труба	25х2,8 			МКЭШнг(A)-LS	10x0,75	75			14
			РЗ ЦПнг	20								
1099.SQF1-K1	Клеммная коробка (1099.KK1)	Клеммная коробка (1099.SQF1.KK)	Труба	20х2,8 			МКЭШнг(A)-LS	4x0,5	15			8,6
			РЗ ЦПнг	15								
1099.SQF1-K2	Клеммная коробка (1099.SQF1.KK)	Датчик ограждения (1099.SQF1)					Комплектно 		5			не найден
			РЗ ЦПнг	15								
